"id","station","longitude","latitude"
1,,-95.1908211,29.492135
2,Taft & Fairview,-95.3856584,29.74833
3,Elgin & Smith,-95.3804759,29.743929
4,Lamar & Crawford,-95.3606291,29.7529436
5,Lamar & La Branch,-95.3612165,29.7537763
6,Milam & Webster,-95.3741367,29.7487362
7,Westheimer & Waugh,-95.3927426,29.7447573
8,Rusk & St Emanuel,-95.3541221,29.7527375
9,Sabine Bridge,-95.3755204,29.7617621
10,Milam & Lamar,-95.3674945,29.7572719
11,City Hall,-95.3697607,29.7599273
12,Dallas & Smith,-95.3698389,29.757597
13,Freed Library,-95.3912791,29.7354816
14,Main & Dallas,-95.366137,29.7552899
15,Hermann Park Lake Plaza,-95.3891823,29.7173266
16,Leonel Castillo Community Center (South Street & Henry),-95.366746,29.7781945
17,METRO Transit Center,-95.3705875,29.7499891
18,MFAH (Fannin & Binz),-95.388923,29.7251917
19,Market Square,-95.3619902,29.7627814
20,McKinney & Caroline,-95.3624595,29.7555502
21,Menil Collection (Alabama & Mandell),-95.3983407,29.738659
22,Smith & Capital,-95.3667776,29.7612064
23,Spotts Park,-95.3968947,29.7665941
24,Stude Park,-95.3856664,29.7790911
25,"1919 Runnels",-95.348044,29.7607586
26,Project Row Houses (Holman & Live Oak),-95.3649021,29.7316872
27,Tellepsen YMCA,-95.3706475,29.7528471
28,West Grey & Baldwin,-95.3773007,29.7523732
29,Capitol Station / Congress & 11th,-97.7412692,30.2726325
30,,-97.741805,30.2857656
31,Bike Rent @ Zilker Park,-97.7682288,30.2658798
32,Mission Concepcion SWell Cycle,-98.4917089,29.3899492
33,,-95.4016684,29.7633772
34,Concepcion Park SWell Cycle,-98.4974105,29.388143
35,Roosevelt Park SWell Cycle,-98.4885651,29.4005801
36,Blue Star SWell Cycle,-98.49504,29.4095119
37,Alamo Plaza SWell Cycle,-98.4871465,29.4264987
38,The Luxury SWell Cycle,-98.4805396,29.4361624
39,"1221 Broadway SWell Cycle",-98.4808424,29.4377271
40,Pearl at Hotel Emma SWell Cycle,-98.4809945,29.4433017
41,"1800 Broadway SWell Cycle",-98.4766524,29.4429256
42,City of Austin,-97.7492582,30.2510467
43,Austin Bicycle Rental,-97.7562583,30.2643744
44,Austin Bicycle Rental,-97.7547555,30.2670196
45,,-97.7434996,30.2640745
46,,-97.7334182,30.285586
47,Austin B-cycle Station,-97.7533188,30.2695694
48,Austin B-cycle Station,-97.749839,30.2592629
49,Austin B-cycle Station,-97.7535244,30.2596955
50,Bicycles and Smoothies,-95.6431063,29.7675243
51,Montgomery Plaza - Bicycle rental,-97.3538399,32.7512064
52,Convention Center - Bicycle rental,-97.3288213,32.7515911
53,Omni Hotel - Bicycle rental,-97.3279054,32.7483183
54,T&P North - Bicycle rental,-97.3274524,32.7468072
55,Trinity Park North - Bicycle rental,-97.351787,32.7451164
56,FWCS - North,-97.3263247,32.7523137
57,T&P South,-97.3273826,32.7437781
58,Moncrief Cancer Institute - Bicycle rental,-97.3282134,32.7308259
59,,-97.7461278,30.258682
60,Museum Place - Bicycle rental,-97.363203,32.7516409
61,Fort Worth Central Library - Bicycle rental,-97.3347777,32.7536819
62,W Berry & University - Bicycle rental,-97.3598961,32.7060061
63,Shamblee Library - Bike rental,-97.3184789,32.7332802
64,Park Place and Enderly - Bicycle rental,-97.3453974,32.7257586
65,Riverfront Drive - Bicycle rental,-97.3636894,32.7244003
66,,-97.3522767,32.7158962
67,Trinity Uptown - Bicycle rental,-97.3283298,32.7606361
68,Zagster,-96.7064171,32.9851024
69,Bicing,-97.7496888,30.259433
70,Austin B-cycle Station,-97.7425254,30.2545866
